seconds,real_position_27259541,relative_position_27259541
0.0,24.99997,0.00000
0.017777699991711415,24.99997,0.00000
0.032064899991382845,24.99997,0.00000
0.04253219999372959,0,24.99997
0.052983799992944114,0,24.99997
0.06288850000419188,0,24.99997
0.07293599999684375,0,24.99997
0.0929584999976214,0,24.99997
0.1030179999943357,0,24.99997
0.12288500000431668,0,24.99997
0.14295249999850057,0,24.99997
0.15288789999613073,0,24.99997
0.17291090000071563,0,24.99997
0.18288150000444148,24.97485,0.02512
0.19288869999581948,24.97485,0.02512
0.20292830000107642,24.97485,0.02512
0.2229378999909386,24.97485,0.02512
0.2428955999930622,24.97485,0.02512
0.25292119999357965,24.97485,0.02512
0.2729122000018833,24.97485,0.02512
0.2928944000013871,24.97485,0.02512
0.3128824000013992,24.97485,0.02512
0.32299719999718945,24.97485,0.02512
0.33297899999888614,24.97485,0.02512
0.34304120000160765,24.97485,0.02512
0.3537683000031393,24.97485,0.02512
0.37313920000451617,24.97485,0.02512
0.393033899992588,24.97485,0.02512
0.41300099999352824,24.97485,0.02512
0.4230107000039425,24.97485,0.02512
0.4330193999921903,24.78677,0.21320
0.45300539999152534,24.78677,0.21320
0.4630701999994926,24.78677,0.21320
0.4732378999906359,24.78677,0.21320
0.4837372000038158,24.78677,0.21320
0.4937854000017978,24.78677,0.21320
0.5137654999998631,24.78677,0.21320
0.5338162999978522,24.78677,0.21320
0.5437536999961594,24.78677,0.21320
0.5537748999922769,24.78677,0.21320
0.5637586999946507,24.78677,0.21320
0.5737497999944026,24.78677,0.21320
0.5837863999913679,24.78677,0.21320
0.6038177000009455,24.78677,0.21320
0.6137902999907965,24.78677,0.21320
0.6237580000015441,24.78677,0.21320
0.6337688999919919,24.78677,0.21320
0.6538312999909976,24.78677,0.21320
0.6637578999943798,24.78677,0.21320
0.6738457000028575,24.53633,0.46364
0.6937731999933021,24.53633,0.46364
0.71376159999636,24.53633,0.46364
0.7237733999936609,24.53633,0.46364
0.7438242999924114,24.53633,0.46364
0.7637823999975808,24.53633,0.46364
0.7737940999941202,24.53633,0.46364
0.793762200002675,24.53633,0.46364
0.8038033999910112,24.53633,0.46364
0.8200200999999652,24.53633,0.46364
0.8338805999956094,24.53633,0.46364
0.8439222000015434,24.53633,0.46364
0.8545539000042481,24.53633,0.46364
0.863923299999442,24.53633,0.46364
0.873945300001651,24.53633,0.46364
0.8939183000038611,24.53633,0.46364
0.9138977999973577,24.53633,0.46364
0.9239156999974512,24.53633,0.46364
0.9439402999996673,24.27643,0.72354
0.9538776999979746,24.27643,0.72354
0.9638960000011139,24.27643,0.72354
0.9739159000018844,24.27643,0.72354
0.9839025999972364,24.27643,0.72354
1.0038778000016464,24.27643,0.72354
1.0149162000016076,24.27643,0.72354
1.034920999998576,24.27643,0.72354
1.055222800001502,24.27643,0.72354
1.074914999990142,24.27643,0.72354
1.0949423999991268,24.27643,0.72354
1.1049515999911819,24.27643,0.72354
1.1249085000017658,24.27643,0.72354
1.1449170999985654,24.27643,0.72354
1.1648884000023827,24.27643,0.72354
1.1749352000042563,24.27643,0.72354
1.1949359999998705,24.0255,0.97447
1.204955199995311,24.0255,0.97447
1.2249788000044646,24.0255,0.97447
1.2349784999969415,24.0255,0.97447
1.244940399992629,24.0255,0.97447
1.2549281999963569,24.0255,0.97447
1.2749058000044897,24.0255,0.97447
1.2950337999936892,24.0255,0.97447
1.305625399996643,24.0255,0.97447
1.3193820000014966,24.0255,0.97447
1.3293830000038724,24.0255,0.97447
1.3493787000043085,24.0255,0.97447
1.3594035999994958,24.0255,0.97447
1.379472300002817,24.0255,0.97447
1.3893797999917297,24.0255,0.97447
1.4093654000025708,24.0255,0.97447
1.429380100002163,24.0255,0.97447
1.439396100002341,23.77146,1.22851
1.4594142999994801,23.77146,1.22851
1.4793899999931455,23.77146,1.22851
1.4994215999904554,23.77146,1.22851
1.5093639999977313,23.77146,1.22851
1.5293987999903038,23.77146,1.22851
1.5492377999908058,23.77146,1.22851
1.559252099992591,23.77146,1.22851
1.5792800999915926,23.77146,1.22851
1.5993335999955889,23.77146,1.22851
1.6092845999955898,23.77146,1.22851
1.6292751000000862,23.77146,1.22851
1.6492468999931589,23.77146,1.22851
1.659248199997819,23.77146,1.22851
1.679276299997582,23.77146,1.22851
1.6992965999961598,23.512,1.48797
1.7192471000016667,23.512,1.48797
1.7292982999933884,23.512,1.48797
1.7392795999912778,23.512,1.48797
1.7592799999983981,23.512,1.48797
1.7792810999962967,23.512,1.48797
1.799293399992166,23.512,1.48797
1.8093466999998782,23.512,1.48797
1.8214098000025842,23.512,1.48797
1.831210899996222,23.512,1.48797
1.8512128000002122,23.512,1.48797
1.8612431999936234,23.512,1.48797
1.871193700004369,23.512,1.48797
1.8812438000022667,23.512,1.48797
1.9012404999957653,23.512,1.48797
1.9212756999913836,23.512,1.48797
1.9412229000008665,23.512,1.48797
1.9512611999962246,23.26,1.73997
1.9712269000010565,23.26,1.73997
1.981247899995651,23.26,1.73997
2.0012152999988757,23.26,1.73997
2.0112226999917766,23.26,1.73997
2.023075899996911,23.26,1.73997
2.041176600003382,23.26,1.73997
2.051206000003731,23.26,1.73997
2.0675464999949327,23.26,1.73997
2.0775379999977304,23.26,1.73997
2.0976213999965694,23.26,1.73997
2.1079946999961976,23.26,1.73997
2.1276174999948125,23.26,1.73997
2.1475543999986257,23.26,1.73997
2.1575451999960933,23.26,1.73997
2.1776450000033947,23.26,1.73997
2.1975357000046642,23.26,1.73997
2.2075132000027224,23.00428,1.99569
2.227580599996145,23.00428,1.99569
